Kind,n,ttime (sec),Rate (MB/sec)
Send/Recv,1,0.000001,10.340349
Send/Recv,2,0.000001,15.827562
Send/Recv,4,0.000001,30.504029
Send/Recv,8,0.000001,51.111092
Send/Recv,16,0.000001,98.625175
Send/Recv,32,0.000002,168.964449
Send/Recv,64,0.000001,352.046500
Send/Recv,128,0.000002,668.106024
Send/Recv,256,0.000002,1120.426251
Send/Recv,512,0.000003,1321.528399
Send/Recv,1024,0.000004,2216.757314
Send/Recv,2048,0.000007,2329.473788
Send/Recv,4096,0.000013,2593.187801
Send/Recv,8192,0.000018,3689.636335
Send/Recv,16384,0.000029,4543.436478
Send/Recv,32768,0.000054,4843.663558
Send/Recv,65536,0.000102,5149.937367
Send/Recv,131072,0.000241,4354.501496
Send/Recv,262144,0.000535,3916.337054
Send/Recv,524288,0.001132,3703.618115
Send/Recv,1048576,0.002338,3587.496517
